Electricity Load [J],Heating Load [J],Cooling Load [J],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.040453417,0,0.036886231,0,0,0
0.037308883,0,0.029837124,0,0.583333333,0.583333333
0.020048301,0,0.023535212,0,1,1
0.009038147,0,0.016205935,0,1.583333333,1.583333333
0.007871828,0,0.038084043,0,2.583333333,2.583333333
0.005536545,0,0,0,1.833333333,1.833333333
0.006920789,0,0,0,2.166666667,2.166666667
0.005355677,0,0,0,3,3
0.010051014,0.003907265,0.010476824,0,2.416666667,2.416666667
0.022209162,0,0.012917614,0,0.833333333,0.833333333
0.025559822,0,0.01277578,0,1.166666667,1.166666667
0.028704355,0,0.018180398,0,1.416666667,1.416666667
0.034671941,0,0.020547404,0,1.583333333,1.583333333
0.038258466,0,0.022759057,0,1.416666667,1.416666667
0.047539522,0,0.023383666,0,1,1
0.052256322,0,0.033515819,0.000185203,1.583333333,1.583333333
0.049111789,0,0.044247924,0.000833415,1.416666667,1.416666667
0.045967255,0,0.042471844,0.000263132,1,1
0.042822722,0,0.03716614,0.000767387,0.416666667,0.416666667
0.042822722,0,0.031846389,0.000163194,0.583333333,0.583333333
0.047669938,0,0.033328926,0.00035068,0.416666667,0.416666667
0.0497566,0,0.039199996,2.60E-05,0,0
0.046742483,0,0.044350884,0,1.75,1.75
0.04359795,0,0.044328073,0,3.583333333,3.583333333
0.040453417,0,0.041658099,0,4,4
0.037308883,0,0.032670963,0,4.583333333,4.583333333
0.020048301,0,0.024560561,0,4.416666667,4.416666667
0.009038147,0,0.016301452,0,5.166666667,5.166666667
0.008260601,0,0.03809172,0,4.833333333,4.833333333
0.005536545,0,0,0,3.416666667,3.416666667
0.006920789,0,0,0,3,3
0.005355677,0,0,0,4.166666667,4.166666667
0.010051014,0.005210272,0.007131041,0,4.416666667,4.416666667
0.021092652,0.001423767,0.01058973,0,4.583333333,4.583333333
0.024429383,0.00176112,0.010925407,0,5,5
0.027926809,0,0.017140728,0,3.833333333,3.833333333
0.034976246,0,0.019279887,0,3,3
0.039432213,0,0.020606718,0,1.833333333,1.833333333
0.04806614,0,0.021187072,0,2.75,2.75
0.052087386,0,0.027580201,0,3.416666667,3.416666667
0.048595075,0,0.028464307,4.73E-05,2.416666667,2.416666667
0.045450542,0,0.029477354,0.00029851,2,2
0.042306009,0,0.026936753,0.000561479,3.166666667,3.166666667
0.042306009,0,0.028037979,0.000807167,4,4
0.047370586,0,0.028819794,0.000438391,3.416666667,3.416666667
0.049821808,0,0.028435195,2.68E-05,1.833333333,1.833333333
0.046742483,0,0.034717379,0,0.416666667,0.416666667
0.04359795,0,0.037620156,0,0,0
0.040453417,0,0.032758167,0,0,0
0.037308883,0,0.030882593,0,0,0
0.020048301,0,0.024586685,0,1.166666667,1.166666667
0.009038147,0,0.01796782,0,2.583333333,2.583333333
0.008260601,0,0.038011397,0,1.833333333,1.833333333
0.005536545,0,0,0,1.583333333,1.583333333
0.006920789,0,0,0,2,2
0.005355677,0,0,0,2.583333333,2.583333333
0.010051014,0.005437563,0.007165953,0,2.416666667,2.416666667
0.021006799,0.001697536,0.010562967,0,2,2
0.024429383,0.001819753,0.010906252,0,2.583333333,2.583333333
0.027926809,0,0.017374051,0,3,3
0.0341987,0,0.019533009,0,3,3
0.0389155,0,0.017442228,0,2.416666667,2.416666667
0.04762188,0,0.020647382,0,2,2
0.051628635,0,0.024497949,0,2,2
0.048078362,0,0.027891683,0,2.583333333,2.583333333
0.044984547,0,0.027657441,0,2.416666667,2.416666667
0.041789296,0,0.024108243,0,2,2
0.041840014,0,0.022685426,0,2,2
0.046728409,0,0.02377023,0,1.416666667,1.416666667
0.047510907,0,0.025505476,0,1.583333333,1.583333333
0.044409846,0,0.030059345,0,2,2
0.041265313,0,0.031525217,0,2,2
0.038120779,0,0.030790954,0,2,2
0.034976246,0,0.023354479,0,0.833333333,0.833333333
0.020048301,0,0.017710557,0,0.583333333,0.583333333
0.00905961,0,0.014033795,0,0.416666667,0.416666667
0.008260601,0,0.037407677,0,0,0
0.005536545,0,0,0,0.583333333,0.583333333
0.006920789,0,0,0,0.416666667,0.416666667
0.005355677,0,0,0,0,0
0.010051014,0.004770021,0.008936039,0,0,0
0.021006799,0.001681837,0.010519179,0,0,0
0.024429383,0.00159579,0.010930355,0,0.583333333,0.583333333
0.027926809,0,0.018264586,0,1,1
0.0341987,0,0.020771516,0,0.416666667,0.416666667
0.0389155,0,0.018262554,0,0,0
0.047723315,0,0.021382695,0,0.583333333,0.583333333
0.051324331,0,0.025515004,0,0.416666667,0.416666667
0.048078362,0,0.029391888,0,0,0
0.044933829,0,0.029627453,0,0,0
0.041789296,0,0.025821792,0,0.583333333,0.583333333
0.041890731,0,0.023852819,0,2.166666667,2.166666667
0.046771881,0,0.02507673,0,1.25,1.25
0.047467435,0,0.027286102,0,0,0
0.044409846,0,0.031933726,0,1.166666667,1.166666667
0.041265313,0,0.032950273,0,2.583333333,2.583333333
0.038120779,0,0.0321175,0,1.25,1.25
0.034976246,0,0.024318053,0,2.333333333,2.333333333
0.020048301,0,0.018402911,0,3.416666667,3.416666667
0.00905961,0,0.014813053,0,3,3
0.007871828,0,0.037202181,0,2.416666667,2.416666667
0.005536545,0,0,0,2,2
0.006920789,0,0,0,2,2
0.005355677,0,0,0,2,2
0.010051014,0.004232344,0.010507706,0,2,2
0.022209162,0,0.01273414,0,2,2
0.025559822,0,0.01318898,0,2.583333333,2.583333333
0.028704355,0,0.020150609,0,2.416666667,2.416666667
0.034976246,0,0.022523763,0,2,2
0.039693046,0,0.02420672,0,2.583333333,2.583333333
0.049495767,0,0.02323543,0,3,3
0.053821318,0,0.030909473,0,3,3
0.050285536,0,0.037735439,0,2.416666667,2.416666667
0.047532251,0,0.035481695,0,2,2
0.0450398,0,0.028693567,0,2.583333333,2.583333333
0.045170216,0,0.024546437,0,3,3
0.049887016,0,0.025245813,0,3.583333333,3.583333333
0.049887016,0,0.030803678,0,3.416666667,3.416666667
0.046742483,0,0.036387305,0,4.166666667,4.166666667
0.04359795,0,0.036352517,0,3.833333333,3.833333333
0.040453417,0,0.035577662,0,3.583333333,3.583333333
0.037308883,0,0.028899188,0,3.416666667,3.416666667
0.020048301,0,0.022545014,0,1.25,1.25
0.009038147,0,0.01535644,0,1.166666667,1.166666667
0.007871828,0,0.037764171,0,1.416666667,1.416666667
0.005536545,0,0,0,1,1
0.006920789,0,0,0,2.166666667,2.166666667
0.005355677,0,0,0,3,3
0.010051014,0.004575279,0.004124405,0,2.416666667,2.416666667
0.022209162,2.77E-06,0.011387656,0,3.75,3.75
0.025559822,0,0.011374996,0,3.833333333,3.833333333
0.028704355,0,0.017376011,2.50E-06,3,3
0.034889302,0,0.019800021,3.26E-07,2.416666667,2.416666667
0.038649715,0,0.02151974,0,2,2
0.047539522,0,0.021790083,0,0.833333333,0.833333333
0.052256322,0,0.02907089,3.10E-05,0,0
0.049111789,0,0.035762666,0.000317095,0,0
0.045967255,0,0.036461612,0.001053507,1.166666667,1.166666667
0.042822722,0,0.033161736,0.001371743,0.833333333,0.833333333
0.042822722,0,0.030021389,0.001160455,0.583333333,0.583333333
0.047669938,0,0.029837012,0.000532133,1.583333333,1.583333333
0.0497566,0,0.034027011,3.16E-05,2,2
0.046742483,0,0.037906766,0,1.416666667,1.416666667
0.04359795,0,0.036365253,0,0.416666667,0.416666667
0.040453417,0,0.034231538,0,0,0
0.037308883,0,0.027603779,0,0,0
0.020048301,0,0.02121613,0,0,0
0.009038147,0,0.014032644,0,0,0
0.007871828,0,0.037816161,0,0,0
0.005536545,0,0,0,0,0
0.006920789,0,0,0,0,0
0.005355677,0,0,0,0,0
0.010051014,0.005156399,0.00895216,0,0,0
0.022209162,0.000154436,0.010581998,0,0,0
0.025559822,0.000276016,0.0109725,0,0,0
0.028704355,0,0.016163055,9.73E-06,0,0
0.034541525,0,0.01869885,2.71E-05,0,0
0.03812805,0,0.021309232,0.000145261,0,0
0.047539522,0,0.022511452,0.000293293,1.75,1.75
0.052256322,0,0.030722028,0.000473768,3,3
0.049111789,0,0.039384767,0.0007982,1.833333333,1.833333333
0.045967255,0,0.039398038,0.000737553,2.166666667,2.166666667
0.042822722,0,0.034832679,0.00133392,2.416666667,2.416666667
0.042822722,0,0.031289564,0.001169422,2,2
0.04760473,0,0.031628837,0.000551697,2,2
0.0497566,0,0.036623404,3.30E-05,0.833333333,0.833333333
0.046742483,0,0.04123339,0,0,0
0.04359795,0,0.039163314,0,0,0
0.040453417,0,0.037001821,0,0,0
0.037308883,0,0.029775916,0,0,0
0.020048301,0,0.022768167,0,0,0
0.009038147,0,0.015227329,0,0,0
0.007871828,0,0.038057759,0,1.166666667,1.166666667
0.005536545,0,0,0,0.833333333,0.833333333
0.006920789,0,0,0,0,0
0.005355677,0,0,0,0,0
0.010051014,0.003796096,0.010608308,0,0,0
0.022209162,0,0.012464778,0,0,0
0.025559822,0,0.012140106,0,0,0
0.028704355,0,0.017407538,1.00E-05,0.583333333,0.583333333
0.034889302,0,0.019689194,1.30E-06,1,1
0.038867076,0,0.021528205,0,1.583333333,1.583333333
0.047539522,0,0.021685559,0,2,2
0.052256322,0,0.029332267,6.62E-05,0.833333333,0.833333333
0.049111789,0,0.037625476,0.000528384,0,0
0.045967255,0,0.04033398,0.001309792,0,0
0.042822722,0,0.036653328,0.001404187,0,0
0.042822722,0,0.03278861,0.001177084,0,0
0.04760473,0,0.033593111,0.000572565,1.166666667,1.166666667
0.0497566,0,0.039092956,5.18E-05,0.833333333,0.833333333
0.046742483,0,0.044775215,0,0,0
0.04359795,0,0.043585696,0,1.75,1.75
0.040453417,0,0.04202634,0,1.833333333,1.833333333
0.037308883,0,0.033392954,0,1.583333333,1.583333333
0.020048301,0,0.025606996,0,2,2
0.009038147,0,0.017350352,0,2,2
0.008260601,0,0.038716612,0,0.833333333,0.833333333
0.005536545,0,0,0,0.583333333,0.583333333
0.006920789,0,0,0,1,1
0.005355677,0,0,0,1.583333333,1.583333333
0.010051014,0.001960965,0.009165863,0,2,2
0.021092652,0.00075993,0.011119685,0,3.166666667,3.166666667
0.024429383,0.000343397,0.011071987,0,4.583333333,4.583333333
0.027926809,0,0.01984186,1.25E-05,5,5
0.034889302,0,0.022064411,6.85E-06,5,5
0.038823604,0,0.023083476,2.35E-05,5,5
0.048297991,0,0.022700571,2.61E-06,5.583333333,5.583333333
0.052551088,0,0.029638239,0,5.416666667,5.416666667
0.048595075,0,0.030448809,0.000121621,5,5
0.045450542,0,0.031868455,0.000786951,5.583333333,5.583333333
0.042306009,0,0.029668122,0.001139261,6,6
0.042363972,0,0.027834632,0.000119828,5.416666667,5.416666667
0.048182065,0,0.027827934,0,4.416666667,4.416666667
0.049887016,0,0.027509654,0,4.583333333,4.583333333
0.046742483,0,0.033217424,0,4.416666667,4.416666667
0.04359795,0,0.035744188,0,4,4
0.040453417,0,0.030941751,0,4.583333333,4.583333333
0.037308883,0,0.028997442,0,4.416666667,4.416666667
0.020048301,0,0.022139883,0,4.583333333,4.583333333
0.009038147,0,0.015679993,0,4.416666667,4.416666667
0.008260601,0,0.037113197,0,4,4
0.005536545,0,0,0,3.416666667,3.416666667
0.006920789,0,0,0,3,3
0.005355677,0,0,0,1.25,1.25
